Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-genomic-trf.json	4157	-	0	0	0	0	0	0	18	105	0	0	0	0	0	0	0	1	0	0	326	172	0	0	0	5	1	1
fsh-generated/resources/CodeSystem-genomic-trf-order-category.json	688	7	0	0	3	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	60	264	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-genomic-test-order.json	2554	2	0	85	0	0	0	0	1	139	0	0	0	0	0	0	0	1	0	0	1134	2953	0	1	0	18	0	1
fsh-generated/resources/StructureDefinition-genomic-trf-questionnaire-response.json	1061	3	0	43	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	721	976	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-genomic-trf-specimen.json	1000	4	0	58	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	590	962	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-genomic-trf-study.json	698	3	0	78	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	829	932	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-order-detail-parameter.json	3715	8	0	24	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	626	919	0	0	0	7	0	0
fsh-generated/resources/ValueSet-genomic-trf-order-category.json	523	2	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	54	255	0	0	0	0	0	0
\input\examples\bundle-genomic-test-order-trf-example.json	20304	-	202	0	0	0	0	0	7	2554	0	0	0	0	0	0	0	1	0	0	1792	307	0	0	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	579	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	2156	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\index.md	1252	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\profiles.md	1254	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\scenarios.md	1215	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\testing.md	981	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	5926	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	0	0	0	0	0	0
