URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://hl7.org/fhir/uv/genomics-reporting/CodeSystem/genomic-study-type-cs,3.0.0,active,,GenomicStudyTypeCS,Genomic Study Type CodeSystem,"Backport of http://hl7.org/fhir/genomicstudy-type","ValueSet/genomic-study-type-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/device-kind,ValueSet/performer-role,ValueSet/specimen-container-type,ValueSet/participant-role,ValueSet/procedure-outcome,ValueSet/procedure-reason,ValueSet/procedure-category,ValueSet/procedure-followup,ValueSet/condition-code,ValueSet/specimen-collection-method,ValueSet/device-action,ValueSet/procedure-not-performed-reason,ValueSet/body-site,ValueSet/questionnaire-answers,ValueSet/servicerequest-orderdetail,ValueSet/procedure-code,ValueSet/medication-as-needed-reason"
http://terminology.hl7.org/CodeSystem/v2-0371,3.0.0,active,"2.16.840.1.113883.18.229",AdditivePreservative,additivePreservative,"HL7-defined code system of concepts specifying any additive introduced to the specimen before or at the time of collection.  These additives may be introduced in order to preserve, maintain or enhance the particular nature or component of the specimen.  Used in HL7 Version 2.x messaging in the SPM and SAC segments.","ValueSet/v2-0371"
http://terminology.hl7.org/CodeSystem/v2-0373,3.0.0,active,"2.16.840.1.113883.18.231",Treatment,treatment,"Code system of concepts that identify the specimen treatment performed during lab processing.  Used in the Interaction Specimen Container Detail (SAC) segment in HL7 Version 2.x messaging.","ValueSet/specimen-processing-procedure"
http://terminology.hl7.org/CodeSystem/v2-0487,3.0.0,active,"2.16.840.1.113883.18.311",SpecimenType,specimenType,"HL7-defined code system of concepts that describe the precise nature of an entity that may be used as the source material for an observation.  This is one of two code systems that are used instead of table 0070 (code system 2.16.840.1.113883.18.28) which conflated specimen types and specimen collection methods.   Used in HL7 Version 2.x messaging in the SPM segment.","ValueSet/v2-0487"
http://terminology.hl7.org/CodeSystem/v2-0493,3.0.0,active,"2.16.840.1.113883.18.317",SpecimenCondition,specimenCondition,"Code system of concepts specifying a mode or state of being that describes the nature of the specimen.  Used in HL7 Version 2.x messaging in the SPM segment.","ValueSet/v2-0493"
http://terminology.hl7.org/CodeSystem/v2-0916,3.0.0,active,"2.16.840.1.113883.18.422",RelevantClincialInformation,relevantClincialInformation,"Code system of concepts specifying additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies. Used in HL7 Version 2.x messaging in the OBR segment.","ValueSet/v2-0916"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,4.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-ServiceDeliveryLocationRoleType"
https://example.org/fhir/uv/genomic-trf/CodeSystem/genomic-trf-order-category,0.1.0,draft,,GenomicTRFOrderCategoryCS,Genomic TRF Order Category,"High-level order categories used in the Genomic TRF IG.","ValueSet/genomic-trf-order-category"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
